year,nickel_usd_mt
1960,1631.0
1961,1711.0
1962,1761.0
1963,1742.0
1964,1742.0
1965,1735.0
1966,1739.0
1967,1936.0
1968,2074.0
1969,2363.0
1970,2846.0
1971,2932.0
1972,3080.0
1973,3373.0
1974,3825.0
1975,4571.0
1976,4973.0
1977,5118.0
1978,4609.0
1979,5986.0
1980,6519.0
1981,5953.0
1982,4837.0
1983,4673.0
1984,4752.0
1985,4899.0
1986,3881.0
1987,4872.0
1988,13778.0
1989,13308.0
1990,8864.0
1991,8156.0
1992,7001.0
1993,5293.0
1994,6340.0
1995,8228.0
1996,7501.0
1997,6927.0
1998,4630.0
1999,6011.0
2000,8638.0
2001,5945.0
2002,6772.0
2003,9629.0
2004,13823.0
2005,14744.0
2006,24254.0
2007,37230.0
2008,21111.0
2009,14655.0
2010,21809.0
2011,22910.0
2012,17548.0
2013,15032.0
2014,16893.0
2015,11863.0
2016,9595.0
2017,10410.0
2018,13114.0
2019,13914.0
2020,13787.0
2021,18465.0
2022,25834.0
2023,21521.0
2024,16814.0
